,phase,agent,action,duration,cost,day_rate
0,MonopileInstallation,Port,Port,2619.2511754272973,7176030.617609034,65753.42465753425
1,MonopileInstallation,WTIV,Mobilize,168.0,3500000.0,500000.0
2,MonopileInstallation,WTIV,Fasten Monopile,360.0,7500000.0,500000.0
3,MonopileInstallation,WTIV,Fasten Transition Piece,240.0,5000000.000000001,500000.0000000001
4,MonopileInstallation,WTIV,Transit,684.4,14258333.333333332,500000.0
5,MonopileInstallation,WTIV,Position Onsite,60.0,1250000.0000000002,500000.0000000001
6,MonopileInstallation,WTIV,Jackup,11.799999999999997,245833.3333333333,500000.0000000001
7,MonopileInstallation,WTIV,RovSurvey,30.0,625000.0000000001,500000.0000000001
8,MonopileInstallation,WTIV,Release Monopile,90.0,1875000.0,500000.0
9,MonopileInstallation,WTIV,Upend Monopile,26.11917542729774,544149.4880687027,499999.9999999999
10,MonopileInstallation,WTIV,Lower Monopile,0.13199999999999998,2749.999999999999,499999.99999999994
11,MonopileInstallation,WTIV,Crane Reequip,60.0,1249999.9999999995,499999.9999999998
12,MonopileInstallation,WTIV,Drive Monopile,45.0,937500.0,500000.0
13,MonopileInstallation,WTIV,Release Transition Piece,60.0,1250000.0000000002,500000.0000000001
14,MonopileInstallation,WTIV,Lower TP,30.0,625000.0000000001,500000.0000000001
15,MonopileInstallation,WTIV,Bolt TP,120.0,2500000.0000000005,500000.0000000001
16,MonopileInstallation,WTIV,Jackdown,11.799999999999997,245833.3333333333,500000.0000000001
